Index,Date,Year,Country,Area,Location,Injury,lat,lng,success,lookupstring,failedstrings,confidence,match loop
680,2006-07-17,2006.0,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Left ankle & foot bitten,32.0,-81.0,Yes,"Singleton Beach, Hilton Head Island, Beaufort County, South Carolina, USA",,1.0,1.0
681,2006-04-19,2006.0,USA,Florida,"Daytona Beach, Volusia County",3 tiny punctures & small lacerations on right ankle,29.0,-81.0,Duplicate,"Daytona Beach, Volusia County, Florida, USA",,,1.0
682,2005-11-21,2005.0,USA,Florida,"Jensen Beach, Martin County",Left foot bitten,27.0,-80.0,Duplicate,"Jensen Beach, Martin County, Florida, USA",,,1.0
683,2005-10-11,2005.0,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,No injury,,,Yes,"Jack McKenney's Canyon, East Wall, GRAND CAYMAN",,0.3969,
684,2005-09-20,2005.0,USA,South Carolina,"Myrtle Beach, Horry County","Injuries to fingers, calf  & heel",34.0,-79.0,Duplicate,"Myrtle Beach, Horry County, South Carolina, USA",,,1.0
685,2004-08-15,2004.0,USA,California,"Kibesillah, Mendocino County",FATAL,39.0,-123.0,Yes,"Mendocino County, California, USA",,0.9,2.0
686,2004-06-02,2004.0,SOUTH AFRICA,Western Cape Province,Dyer Island,"FATAL, leg severed",-34.0,21.0,Yes,"Dyer Island, Western Cape Province, SOUTH AFRICA",,0.9,1.0
687,2003-11-27,2003.0,SOUTH AFRICA,KwaZulu-Natal,Sodwana,"Presumed FATAL, severed hand recovered",-28.0,33.0,Yes,"Sodwana, KwaZulu-Natal, SOUTH AFRICA",,0.9,1.0
688,2003-07-05,2003.0,USA,Florida,"Canova Beach, Brevard County",Left foot bitten,29.0,-81.0,Duplicate,"Florida, USA",,0.0,5.0
689,2003-05-14,2003.0,USA,Florida,"Ponce de Leon Inlet, Volusia County",Left foot bitten,29.0,-81.0,Yes,"Ponce de Leon Inlet, Volusia County, Florida, USA",,0.9,1.0
690,2002-12-24,2002.0,SOUTH AFRICA,Western Cape Province,Scarborough,Forearms lacerated,-34.0,18.0,Yes,"Scarborough, Western Cape Province, SOUTH AFRICA",,0.9,1.0
691,2002-10-05,2002.0,USA,Florida,"New Smyrna Beach, Volusia County",Abrasions on right hand & deep laceration on middle finger,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
692,2002-10-05,2002.0,USA,Florida,"New Smyrna Beach, Volusia County",Heel & back of right knee lacerated,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
693,2002-09-21,2002.0,USA,Oregon,Cape Kiwanda,Ankle lacerated,45.0,-124.0,Yes,"Cape Kiwanda, Oregon, USA",,0.9,1.0
694,2002-09-16,2002.0,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i","No injury, shark fin seen just before board ripped away & dragged out to sea",22.0,-159.0,Yes,"Hideaways Beach, Princeville, Kaua'i, Hawaii, USA",,1.0,1.0
695,2001-03-03,2001.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",FATAL,-8.0,-35.0,Yes,"Boa Viagem Beach, Recife, Pernambuco, BRAZIL",,1.0,1.0
696,2000-09-29,2000.0,USA,California,"Mavericks, Half Moon Bay, San Mateo County",No injury,37.0,-122.0,Yes,"Mavericks, Half Moon Bay, San Mateo County, California, USA",,1.0,1.0
697,2000-08-21,2000.0,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County","Severe gash to left hand above wrist, almost severing hand",35.0,-77.0,Yes,"Bouges Bank, Emerald Isle, Carteret County, North Carolina, USA",,1.0,1.0
698,2000-07-06,2000.0,USA,North Carolina,"Pine Island, Corolla, Currituck County",Calf lacerated,36.0,-76.0,Yes,"Pine Island, Corolla, Currituck County, North Carolina, USA",,1.0,1.0
699,2000-07-02,2000.0,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Left calf & hand lacerated,29.0,-81.0,Yes,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County, Florida, USA",,1.0,1.0
700,2000-07-01,2000.0,TANZANIA,,"Coco Beach, Dar-es-Salaam",FATAL,-7.0,39.0,Yes,"Coco Beach, Dar-es-Salaam, TANZANIA",,1.0,1.0
701,2000-02-21,2000.0,USA,Florida,"Riviera Beach, Palm Beach County",Right calf bitten,27.0,-80.0,Duplicate,"Riviera Beach, Palm Beach County, Florida, USA",,,1.0
702,1999-03-18,1999.0,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,No injury,-47.0,168.0,Yes,"Codfish Island (Whenua Hau) west of Stewart Island, South Island, NEW ZEALAND",,0.9,1.0
703,1998-09-01,1998.0,SENEGAL,Cap Vert Peninsula,Yoff Island,Bitten by harpooned shark PROVOKED INCIDENT,,,Yes,"Yoff Island, Cap Vert Peninsula, SENEGAL",,0.567,
704,1998-07-06,1998.0,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Right leg bitten,-34.0,23.0,Duplicate,"Plettenberg Bay, Western Cape Province, SOUTH AFRICA",,,1.0
705,1997-06-02,1997.0,USA,Florida,"Daytona Beach Shores,  Volusia County",4 lacerations above left ankle,29.0,-81.0,Yes,"Daytona Beach Shores,  Volusia County, Florida, USA",,1.0,1.0
706,1996-06-25,1996.0,USA,South Carolina,"Fripp Island, Beaufort County","Lacerations to left shin, heel & foot",32.0,-81.0,Yes,"Fripp Island, Beaufort County, South Carolina, USA",,0.9,1.0
707,1995-08-31,1995.0,USA,Florida,"North Beach Inlet, St. Lucie County",Left hand & forearm bitten,29.0,-81.0,Duplicate,"Florida, USA",,0.44099999999999995,5.0
708,1995-08-22,1995.0,USA,Florida,"Ponce de Leon Inlet, Volusia County",Bottom of left foot gashed,29.0,-81.0,Duplicate,"Ponce de Leon Inlet, Volusia County, Florida, USA",,,1.0
709,1995-07-07,1995.0,BRAZIL,Pernambuco,Candeias,"Arm bitten, FATAL",-8.0,-35.0,Yes,"Candeias, Pernambuco, BRAZIL",,1.0,1.0
710,1994-12-09,1994.0,USA,California,"San Miguel Island, Santa Barbara County","FATAL, right leg nearly severed, puncture wounds to left leg",35.0,-120.0,Yes,"San Miguel Island, Santa Barbara County, California, USA",,0.9,1.0
711,1993-09-30,1993.0,SOMALIA,Banaadir Region,Mogadishu,FATAL,2.0,45.0,Duplicate,"Mogadishu, SOMALIA",,0.0,4.0
712,1993-09-26,1993.0,SOUTH AFRICA,Western Cape Province,Danger Point,Calf lacerated,-30.0,31.0,Yes,"Danger Point, SOUTH AFRICA",,1.0,4.0
713,1993-09-14,1993.0,USA,Florida,"Huguenot Memorial Park, Duval County",Left foot bitten,29.0,-81.0,Duplicate,"Florida, USA",,0.7005405405405406,5.0
714,1993-09-09,1993.0,USA,Florida,"Little Talbot Island, Jacksonville, Duval County",Left foot bitten,30.0,-81.0,Yes,"Little Talbot Island, Jacksonville, Duval County, Florida, USA",,1.0,1.0
715,1993-01-04,1993.0,CARIBBEAN SEA,,Off Dominican Republic,"No injury to occupants. Sharks, attracted to offal from slaughtered dolphin, attacked & damaged their canoe",,,Yes,,,0.2413793103448276,
716,1992-11-25,1992.0,USA,Florida,"Brevard County, a mile north of Sebastian Inlet",Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,29.0,-81.0,Duplicate,"Florida, USA",,0.0,5.0
717,1989-02-02,1989.0,ITALY,Tyrrhenian Sea,"Golfo di Baratti, near Piombino (Tuscany)",FATAL. His body not recovered,43.0,11.0,Yes,"Golfo di Baratti, near Piombino (Tuscany), ITALY",,1.0,4.0
718,1989-01-01,1989.0,USA,Virginia,"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet","No injury, shark grabbed his fish and chased him to the boat",37.0,-78.0,Yes,"Virginia, USA",,1.0,5.0
719,1986-01-12,1986.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Puncture wounds to both feet,27.0,-80.0,Duplicate,"Singer Island, Riviera Beach, Palm Beach County, Florida, USA",,,1.0
720,1985-10-12,1985.0,USA,Hawaii,"Barbers Point, O'ahu",Left arm lacerated,20.0,-155.0,Duplicate,"Hawaii, USA",,0.567,5.0
721,1984-02-17,1984.0,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,-30.0,31.0,Yes,"Shark tank at Oceanographic Research Insitute, Durban, KwaZulu-Natal, SOUTH AFRICA",,1.0,1.0
722,1983-07-12,1983.0,USA,Florida,"Caloosahatchee River, Lee County",Left ankle nipped (3 punctures wounds),27.0,-82.0,Yes,"Caloosahatchee River, Lee County, Florida, USA",,1.0,1.0
723,1983-04-02,1983.0,USA,Florida,"Lake Worth Beach, Palm Beach County",Left foot bitten,27.0,-80.0,Yes,"Lake Worth Beach, Palm Beach County, Florida, USA",,0.9,1.0
724,1982-03-10,1982.0,USA,Florida,"Palm Beach, Palm Beach County",Elbow bitten,27.0,-80.0,Yes,"Palm Beach, Palm Beach County, Florida, USA",,1.0,1.0
725,1982-02-07,1982.0,USA,Florida,Elliot Key,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",29.0,-81.0,Duplicate,"Florida, USA",,0.0,5.0
726,1982-01-01,1982.0,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",No details,44.0,11.0,Yes,"Isola d'Elba, Tyrrhenian Sea, ITALY",,1.0,2.0
727,1981-09-15,1981.0,USA,Florida,"Tampa Bay, Manatee County","FATAL, right calf bitten",28.0,-83.0,Yes,"Tampa Bay, Manatee County, Florida, USA",,1.0,1.0
728,1981-08-10,1981.0,USA,Florida,"Marathon, Monroe County",Bite to face,25.0,-81.0,Duplicate,"Marathon, Monroe County, Florida, USA",,,1.0
729,1981-07-18,1981.0,SOUTH AFRICA,Eastern Cape Province,Nahoon,7 lacerations to right foot,-33.0,28.0,Duplicate,"Nahoon, Eastern Cape Province, SOUTH AFRICA",,,1.0
730,1980-01-10,1980.0,SOUTH AFRICA,Eastern Cape Province,King’s Beach,3 small punctures on arm,-34.0,26.0,Yes,"King’s Beach, Eastern Cape Province, SOUTH AFRICA",,0.9,1.0
731,1977-03-13,1977.0,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,FATAL,-28.0,153.0,Duplicate,"Near Moreton Island in Moreton Bay, Queensland, AUSTRALIA",,,1.0
732,1976-07-12,1976.0,USA,Florida,St. Lucie County,lost part of a finger,27.0,-80.0,Yes,"St. Lucie County, USA",,0.9,4.0
733,1976-02-03,1976.0,SOUTH AFRICA,Western Cape Province,False Bay,"No injury to occupants, shark rammed bow, driving its head into the hull",-34.0,19.0,Duplicate,"False Bay, Western Cape Province, SOUTH AFRICA",,,1.0
734,1976-01-11,1976.0,SOUTH AFRICA,Western Cape Province,Kalk Bay,"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT",-34.0,18.0,Yes,"Kalk Bay, Western Cape Province, SOUTH AFRICA",,0.81,1.0
735,1975-06-15,1975.0,USA,Alabama,5 miles off the coast,Left leg bitten,33.0,-87.0,Yes,"Alabama, USA",,1.0,5.0
736,1974-06-20,1974.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to hip and leg,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
737,1973-04-04,1973.0,MEXICO,Guerrero,"Revolcadero Beach, Acapulco","FATAL, multiple bites",17.0,-100.0,Yes,"Revolcadero Beach, Acapulco, Guerrero, MEXICO",,1.0,1.0
738,1972-12-31,1972.0,SOUTH AFRICA,Western Cape Province,Millers Point,Lower left leg & foot bitten,-34.0,18.0,Yes,"Millers Point, Western Cape Province, SOUTH AFRICA",,0.81,1.0
739,1971-12-05,1971.0,AUSTRALIA,Queensland,Gladstone,FATAL,-24.0,151.0,Yes,"Gladstone, Queensland, AUSTRALIA",,1.0,1.0
740,1971-09-07,1971.0,CROATIA,Istria County,Ika,FATAL,45.0,14.0,Yes,"Ika, Istria County, CROATIA",,1.0,1.0
741,1971-01-01,1971.0,CROATIA,Istria,Ika,FATAL,45.0,14.0,Yes,"Ika, Istria, CROATIA",,1.0,1.0
742,1970-09-28,1970.0,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Lacerations & punctures to right arm & shoulder,,,Yes,"Truk Lagoon, Eastern Caroline Islands, MICRONESIA",,0.0,
743,1970-01-16,1970.0,EGYPT,Red Sea,A few miles south of Port Suez,FATAL,30.0,33.0,Yes,"A few miles south of Port Suez, EGYPT",,1.0,4.0
744,1966-01-09,1966.0,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,Lower legs bitten,-30.0,31.0,Yes,"Umkomaas, KwaZulu-Natal, SOUTH AFRICA",,1.0,1.0
745,1965-09-08,1965.0,MEXICO,Veracruz,Playa Villa del Mar,Leg & arm bitten,19.0,-96.0,Duplicate,"Veracruz, MEXICO",,0.0,5.0
746,1964-12-25,1964.0,SOUTH AFRICA,Eastern Cape Province,Port Alfred,"Hand, ankle & calf lacerated",-34.0,27.0,Duplicate,"Port Alfred, Eastern Cape Province, SOUTH AFRICA",,,1.0
747,1964-08-03,1964.0,JAPAN,Okayama Prefecture,Saidaiji,"Leg bitten, surgically amputated",35.0,134.0,Yes,"Saidaiji, Okayama Prefecture, JAPAN",,1.0,1.0
748,1964-05-08,1964.0,FIJI,Vita Levu,Naviti,"FATAL, buttocks, lower abdomen & genitalia removed",-17.0,177.0,Yes,"Naviti, Vita Levu, FIJI",,1.0,1.0
749,1964-01-23,1964.0,SOUTH AFRICA,Eastern Cape Province,Nahoon,Heel & ankle bitten,-33.0,28.0,Duplicate,"Nahoon, Eastern Cape Province, SOUTH AFRICA",,,1.0
750,1963-12-26,1963.0,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay","No injury, shark's tail struck his armpit",-25.0,153.0,Yes,"Figtree Ledge, Hervey Bay, Queensland, AUSTRALIA",,1.0,1.0
751,1963-12-04,1963.0,NEW BRITAIN,"South Coast, East New Britain",Pomio,"FATAL, leg severely bitten",,,Yes,"Pomio, South Coast, East New Britain, NEW BRITAIN",,0.2,
752,1962-10-14,1962.0,AUSTRALIA,South Australia,Port Phillip Bay,"No injury to occupant, shark nibbled at boat",-31.0,136.0,Duplicate,"South Australia, AUSTRALIA",,0.0,5.0
753,1962-06-11,1962.0,USA,California,San Francisco Bay,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",38.0,-122.0,Yes,"San Francisco Bay, California, USA",,1.0,1.0
754,1962-01-21,1962.0,AUSTRALIA,New South Wales,Cronulla,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,-34.0,151.0,Duplicate,"Cronulla, New South Wales, AUSTRALIA",,,1.0
755,1961-09-26,1961.0,USA,Florida,"Florida Keys, Monroe County",Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,25.0,-81.0,Duplicate,"Florida Keys, Monroe County, USA",,0.0,4.0
756,1961-04-03,1961.0,AUSTRALIA,Victoria,Flinders Island,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",-37.0,145.0,Yes,"Flinders Island, Victoria, AUSTRALIA",,1.0,1.0
757,1960-08-04,1960.0,USA,Delaware,"Mispillion Light, Delaware Bay",Hand lacerated,39.0,-75.0,Yes,"Mispillion Light, Delaware Bay, Delaware, USA",,1.0,1.0
758,1960-06-27,1960.0,NEW ZEALAND,Cook Strait,Tory Channel,Harpooned shark bit boat PROVOKED INCIDENT,-38.0,176.0,Yes,"Tory Channel, Cook Strait, NEW ZEALAND",,1.0,1.0
759,1960-02-19,1960.0,PAPUA NEW GUINEA,Central Province,"Tupuselei Village, about 40 miles east of Port Moresby","FATAL, legs bitten",-9.0,147.0,Yes,"Tupuselei Village, about 40 miles east of Port Moresby, PAPUA NEW GUINEA",,1.0,4.0
760,1960-01-30,1960.0,PAPUA NEW GUINEA,Madang (WO),"Off Taludig Village, at mouth of the Murnass River","Lower left leg bitten, surgically amputated",,,Yes,"Off Taludig Village, at mouth of the Murnass River, Madang (WO), PAPUA NEW GUINEA",,0.0,
761,1960-01-21,1960.0,AUSTRALIA,South Australia,Millicent,"No injury to occupants, shark lifted boat",-38.0,140.0,Yes,"Millicent, South Australia, AUSTRALIA",,1.0,1.0
762,1959-04-09,1959.0,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,2 toes bitten off,-34.0,26.0,Duplicate,"Port Elizabeth, Eastern Cape Province, SOUTH AFRICA",,,1.0
763,1959-03-01,1959.0,USA,Florida,Miami,Boat followed shark; shark holed boat,26.0,-80.0,Yes,"Miami, Florida, USA",,1.0,1.0
764,1959-01-01,1959.0,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Enuk Island, Kavieng","FATAL, abdomen & leg bitten",-3.0,151.0,Yes,"Enuk Island, Kavieng, New Ireland Province, Bismarck Archipelago, PAPUA NEW GUINEA",,1.0,1.0
765,1957-07-09,1957.0,AUSTRALIA,Torres Strait,Near Thursday Island,Right hand and arm bitten,-11.0,142.0,Duplicate,"Near Thursday Island, AUSTRALIA",,0.35720999999999997,4.0
766,1957-04-28,1957.0,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County","FATAL, seen with arm in mouth of shark. Body not recovered.",35.0,-121.0,Yes,"Atascadero Beach, Morro Bay, San Luis Obispo County, California, USA",,1.0,1.0
767,1957-01-01,1957.0,IRAN,Karun River,Hesamabad,Survived,28.0,53.0,Yes,"Hesamabad, Karun River, IRAN",,0.9,1.0
768,1956-08-15,1956.0,USA,Puerto Rico,North coast,FATAL,27.0,-98.0,Yes,"North coast, Puerto Rico, USA",,1.0,1.0
769,1956-03-04,1956.0,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay",FATAL,-38.0,145.0,Yes,"Portsea Beach, Victoria, AUSTRALIA",,0.9,2.0
770,1955-01-01,1955.0,CUBA,Havana Province,Cojimar,Forearm slashed wrist to elbow by hooked shark he was trying to club to death  PROVOKED INCIDENT,23.0,-82.0,Yes,"Cojimar, CUBA",,1.0,4.0
771,1953-07-01,1953.0,PANAMA,Gulf of Panama,60 miles offshore,Hand severely bitten,9.0,-80.0,Yes,"60 miles offshore, Gulf of Panama, PANAMA",,1.0,1.0
772,1952-08-04,1952.0,ITALY,Genoa  Province,Riva Trigoso,Bitten by hooked shark                      PROVOKED INCIDENT,44.0,9.0,Yes,"Riva Trigoso, ITALY",,1.0,4.0
773,1950-12-16,1950.0,AUSTRALIA,Queensland,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane","FATAL, lower abdomen severely bitten & his left leg was severed",-27.0,153.0,Yes,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane, Queensland, AUSTRALIA",,1.0,1.0
774,1950-11-12,1950.0,AUSTRALIA,Queensland,Yeppoon,"No injury to occupants, shark holed canoet",-23.0,151.0,Yes,"Yeppoon, Queensland, AUSTRALIA",,1.0,1.0
775,1948-12-14,1948.0,CUBA,Guantanamo Province,10 miles off Cape Maisi,"2 hours later shark bit Jeppsen’s feet, arm, knee & finally killed him. Tony, clothing torn but alive, washed ashore on Cuban coast",20.0,-75.0,Yes,"Guantanamo Province, CUBA",,0.9,5.0
776,1948-03-01,1948.0,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Punam Passage, Rataman census div, Namatanai",Leg bitten by shark that he had speared  PROVOKED INCIDENT,-4.0,152.0,Yes,"Punam Passage, Rataman census div, Namatanai, New Ireland Province, Bismarck Archipelago, PAPUA NEW GUINEA",,1.0,1.0
777,,1943.0,USA,Hawaii,"Midway Island, Northwestern Hawaiian Islands",Calf nipped in each case,28.0,-178.0,Duplicate,"Northwestern Hawaiian Islands, Hawaii, USA",,0.25,2.0
778,1941-01-01,1941.0,PAPUA NEW GUINEA,,"Gaire Village, between Rigo & Port Moresby","Foot severely bitten, surgically amputated",33.0,-117.0,Yes,"between Rigo & Port Moresby, PAPUA NEW GUINEA",,0.9,2.0
779,1940-01-01,1940.0,AUSTRALIA,Queensland,"Malagil, Barrier Reef",Thigh  lacerated,-22.0,145.0,Duplicate,"Queensland, AUSTRALIA",,0.675,5.0
780,1937-11-11,1937.0,AUSTRALIA,Torres Strait,Ota Reef,FATAL,-19.0,147.0,Yes,"Ota Reef, AUSTRALIA",,1.0,4.0
781,1937-02-13,1937.0,AUSTRALIA,New South Wales,"Bar Beach, Newcastle","FATAL, buttocks, ankle & right elbow bitten",-33.0,152.0,Yes,"Bar Beach, Newcastle, New South Wales, AUSTRALIA",,0.9,1.0
782,1935-03-20,1935.0,AUSTRALIA,Torres Strait,Three Mile Reef off Lizard Island 50 miles north of Cooktown,Left thigh abraded & 3 fingers lacerated,-10.0,142.0,Duplicate,"Torres Strait, AUSTRALIA",,0.567,5.0
783,1935-01-24,1935.0,AUSTRALIA,Queensland,"Ross River, Townsville",No injury to occupants,-19.0,147.0,Duplicate,"Ross River, Townsville, Queensland, AUSTRALIA",,,1.0
784,1934-08-26,1934.0,AUSTRALIA,Queensland,Off Eva Island 20 miles from Cardwell,"FATAL, body was not recovered",-18.0,146.0,Yes,"Off Eva Island 20 miles from Cardwell, Queensland, AUSTRALIA",,1.0,1.0
785,1932-10-11,1932.0,CAPE VERDE,Barlavento Islands,São Vicente,FATAL,17.0,-25.0,Yes,"São Vicente, CAPE VERDE",,0.9,4.0
786,1932-08-06,1932.0,BAHAMAS,New Providence District,"Nassau, New Providence Island","No injury, hooked shark rammed tripod PROVOKED INCIDENT",25.0,-77.0,Yes,"Nassau, New Providence Island, New Providence District, BAHAMAS",,1.0,1.0
787,1932-01-11,1932.0,AUSTRALIA,Victoria,Frankston,No details,-38.0,145.0,Yes,"Frankston, Victoria, AUSTRALIA",,1.0,1.0
788,1929-02-09,1929.0,AUSTRALIA,Western Australia,Glenelg,"No injury, shark pushed canoe from jetty to a point 100 m away",-34.0,148.0,Yes,"Glenelg, Western Australia, AUSTRALIA",,1.0,1.0
789,1929-01-01,1929.0,AUSTRALIA,New South Wales,"Garden Island, Sydney",Hand lacerated,-34.0,151.0,Yes,"Garden Island, Sydney, New South Wales, AUSTRALIA",,1.0,1.0
790,1928-11-12,1928.0,USA,Virginia,"200 miles off Hampton Roads, Virginia, USA",FATAL,37.0,-76.0,Yes,"Virginia, USA, Virginia, USA",,0.9,2.0
791,1927-02-09,1927.0,AUSTRALIA,Queensland,Brisbane River,"No injury, but trouser leg shredded by shark",-28.0,153.0,Duplicate,"Brisbane River, Queensland, AUSTRALIA",,,1.0
792,1927-01-01,1927.0,AUSTRALIA,Torres Strait,Thursday Island,Shoulder bitten,-11.0,142.0,Yes,"Thursday Island, AUSTRALIA",,0.9,4.0
793,1926-03-17,1926.0,AUSTRALIA,South Australia,"West Beach, Brighton",FATAL,-35.0,139.0,Yes,"West Beach, Brighton, South Australia, AUSTRALIA",,0.81,1.0
794,1925-01-01,1925.0,FIJI,Viti Levu Island,"Suva Harbor, Suva","Both arms bitten, surgically amputated",-18.0,178.0,Yes,"Suva Harbor, Suva, Viti Levu Island, FIJI",,1.0,1.0
795,1922-05-24,1922.0,JAMAICA,Westmoreland Parish,Savanna-la-Mar,"FATAL, arm severed, thigh severely bitten",18.0,-78.0,Yes,"Savanna-la-Mar, JAMAICA",,1.0,4.0
796,1922-03-20,1922.0,JAMAICA,Kingston Parish,Kingston Harbor,Survived,18.0,-77.0,Yes,"Kingston Harbor, JAMAICA",,0.9,4.0
797,1921-11-27,1921.0,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River","FATAL, disappeared, body not recovered",-22.0,145.0,Duplicate,"Queensland, AUSTRALIA",,0.63,5.0
798,1920-06-27,1920.0,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove","No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",45.0,-64.0,Yes,"Hubbard Cove, Halifax, CANADA",,1.0,2.0
799,1920-01-15,1920.0,AUSTRALIA,New South Wales,"Throsby Creek, Newcastle",Leg bitten. FATAL,-33.0,152.0,Yes,"Throsby Creek, Newcastle, New South Wales, AUSTRALIA",,1.0,1.0
800,1917-07-15,1917.0,IRELAND,Off Ireland,82 miles from Fastnet,"FATAL, only 1 survivor",,,Yes,"82 miles from Fastnet, Off Ireland, IRELAND",,0.125,
801,1916-08-24,1916.0,USA,Louisiana,"off Grand Lake, Cameron Parish",Left calf severely bitten & became septic but he survived,30.0,-93.0,Yes,"off Grand Lake, Cameron Parish, Louisiana, USA",,1.0,1.0
802,1916-04-03,1916.0,AUSTRALIA,Victoria,Carrum,FATAL,-38.0,145.0,Yes,"Carrum, Victoria, AUSTRALIA",,1.0,1.0
803,1912-08-30,1912.0,USA,Georgia,"Tybee Island, Chatham County",FATAL,32.0,-81.0,Duplicate,"Tybee Island, Chatham County, Georgia, USA",,,1.0
804,1909-09-04,1909.0,USA,Delaware,"Lewes, Sussex County",Abrasion to leg from netted shark PROVOKED INCIDENT,39.0,-75.0,Yes,"Lewes, Sussex County, Delaware, USA",,1.0,1.0
805,1907-09-11,1907.0,CROATIA,"Split-Dalmatia Count,","Sucurja, Hvar Island",FATAL,43.0,16.0,Yes,"Sucurja, Hvar Island, Split-Dalmatia Count,, CROATIA",,0.81,1.0
806,1907-04-20,1907.0,MEXICO,Oaxaca,Salina Cruz,"3 fingers & thigh lacerated, foot crushed",16.0,-95.0,Yes,"Salina Cruz, Oaxaca, MEXICO",,1.0,1.0
807,1900-08-21,1900.0,USA,North Carolina,"Southport, Brunswick County",Left hand lacerated,34.0,-78.0,Yes,"Southport, Brunswick County, North Carolina, USA",,1.0,1.0
808,,1900.0,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,Leg severed,-34.0,26.0,Duplicate,"Port Elizabeth, Eastern Cape Province, SOUTH AFRICA",,,1.0
809,1897-03-15,1897.0,USA,Massachusetts,30 miles south of Lynn,FATAL,42.0,-71.0,Yes,"30 miles south of Lynn, Massachusetts, USA",,1.0,1.0
810,1895-01-01,1895.0,AUSTRALIA,Western Australia,"Dampier's Creek, Broome",No injury to occupants of boat,-18.0,122.0,Yes,"Dampier's Creek, Broome, Western Australia, AUSTRALIA",,1.0,1.0
811,1892-06-20,1892.0,CUBA,Havana Province,Havana Harbor,FATAL,23.0,-82.0,Duplicate,"Havana Harbor, CUBA",,0.25,4.0
812,1891-09-14,1891.0,KIRIBATI,Line Islands,Flint Island,"FATAL. Of 38 people in the water, 8 were killed by sharks & 1 man's leg was severed",-11.0,-152.0,Yes,"Flint Island, Line Islands, KIRIBATI",,1.0,1.0
813,1890-01-01,1890.0,INDIA,Tamil Nadu,Tuticorin,No details,9.0,78.0,Yes,"Tuticorin, Tamil Nadu, INDIA",,1.0,1.0
814,1886-01-28,1886.0,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth","Chest & buttocks bitten, left leg severed at knee",-34.0,26.0,Yes,"South Jetty, Port Elizabeth, Eastern Cape Province, SOUTH AFRICA",,0.9,1.0
815,1884-04-28,1884.0,BRAZIL,,Bahia,FATAL,-12.0,-42.0,Yes,"Bahia, BRAZIL",,1.0,1.0
816,1880-05-14,1880.0,INDIA,West Bengal,Hoogly River,"Hands, forearm & left thigh lacerated, radial artery severed",23.0,88.0,Yes,"West Bengal, INDIA",,1.0,5.0
817,1879-03-19,1879.0,NEW ZEALAND,North Island,Napier,FATAL,-39.0,177.0,Yes,"Napier, North Island, NEW ZEALAND",,1.0,1.0
818,,1875.0,AUSTRALIA,Western Australia,Sharks Bay,FATAL,-25.0,121.0,Duplicate,"Western Australia, AUSTRALIA",,0.0,5.0
819,1871-05-22,1871.0,SRI LANKA,Eastern Province,Trincomalee,Severe laceration to thigh,9.0,81.0,Yes,"Trincomalee, Eastern Province, SRI LANKA",,1.0,1.0
